,Symbol
1190,KSBPUMPS
1191,KSCL
1192,KSHITIJPOL
1193,KSL
1194,KSOLVES
1195,KTKBANK
1196,KUANTUM
1197,L&TFH
1198,LAGNAM
1199,LAKPRE
1200,LAL
1201,LALPATHLAB
1202,LAMBODHARA
1203,LANABS
1204,LANDMARK
1205,LAOPALA
1206,LASA
1207,LATENTVIEW
1208,LATTEYS
1209,LAURUSLABS
1210,LAXMICOT
1211,LAXMIMACH
1212,LCCINFOTEC
1213,LEADEDSYS
1214,LEMONTREE
1215,LEXUS
1216,LFIC
1217,LGBBROSLTD
1218,LGBFORGE
1219,LGHL
1220,LIBAS
1221,LIBERTSHOE
1222,LICHSGFIN
1223,LICI
1224,LICMFGOLD
1225,LICNETFGSC
1226,LICNETFN50
1227,LICNETFSEN
1228,LICNFNHGP
1229,LICNMFET
1230,LIKHITHA
1231,LINC
1232,LINCOLN
1233,LINCPEN
1234,LINDEINDIA
1235,LIQUIDBEES
1236,LIQUIDETF
1237,LLOYDSENGG
1238,LLOYDSME
1239,LODHA
1240,LOGIXMICRO
1241,LOKESHMACH
1242,LORDSCHLO
1243,LOTUSEYE
1244,LOVABLE
1245,LOWVOLIWIN
1246,LOYALTEX
1247,LPDC
1248,LSIL
1249,LT
1250,LTFOODS
1251,LTGILTBEES
1252,LTI
1253,LTIM
1254,LTTS
1255,LUMAXIND
1256,LUMAXTECH
1257,LUPIN
1258,LUXIND
1259,LXCHEM
1260,LYCOS
1261,LYKALABS
1262,LYPSAGEMS
1263,M&M
1264,M&MFIN
1265,M100
1266,M50
1267,MAANALU
1268,MACMILLAN
1269,MACPOWER
1270,MADHAV
1271,MADHUCON
1272,MADRASCEM
1273,MADRASFERT
1274,MADRASREFN
1275,MAGADSUGAR
1276,MAGMA
1277,MAGNUM
1278,MAHABANK
1279,MAHAPEXLTD
1280,MAHASTEEL
1281,MAHAVIRSPG
1282,MAHEPC
1283,MAHESHWARI
1284,MAHINDCIE
1285,MAHINDFORG
1286,MAHLIFE
1287,MAHLOG
1288,MAHSCOOTER
1289,MAHSEAMLES
1290,MAITHANALL
1291,MAJESCO
1292,MALLCOM
1293,MALUPAPER
1294,MAN50ETF
1295,MANAKALUCO
1296,MANAKCOAT
1297,MANAKINDST
1298,MANAKSIA
1299,MANAKSTEEL
1300,MANALIPETC
1301,MANALU
1302,MANAPPURAM
1303,MANGALAM
1304,MANGCHEFER
1305,MANGLMCEM
1306,MANINDS
1307,MANINFRA
1308,MANKIND
1309,MANOMAY
1310,MANORAMA
1311,MANORG
1312,MANUGRAPH
1313,MANXT50
1314,MANYAVAR
1315,MAPMYINDIA
1316,MARALOVER
1317,MARATHON
1318,MARICO
1319,MARICOIND
1320,MARINE
1321,MARKSANS
1322,MARSHALL
1323,MARUTI
1324,MASFIN
1325,MASKINVEST
1326,MASTEK
1327,MATRIMONY
1328,MAWANASUG
1329,MAX
1330,MAXESTATES
1331,MAXHEALTH
1332,MAXIND
1333,MAXWELL
1334,MAYURUNIQ
1335,MAZDA
1336,MAZDOCK
1337,MBAPL
1338,MBECL
1339,MBLINFRA
1340,MCDOWELL-N
1341,MCL
1342,MCLEODRUSS
1343,MCX
1344,MEDANTA
1345,MEDICAMEQ
1346,MEDICO
1347,MEDPLUS
1348,MEGASOFT
1349,MEGASTAR
1350,MELSTAR
1351,MENONBE
1352,MEP
1353,MERCK
1354,METROBRAND
1355,METROPOLIS
1356,MFL
1357,MFSL
1358,MGEL
1359,MGL
1360,MHLXMIRU
1361,MHRIL
1362,MICEL
1363,MICO
1364,MICROSEC
1365,MID-DAY
1366,MID150BEES
1367,MIDCAPIWIN
1368,MIDHANI
1369,MINDACORP
1370,MINDAIND
1371,MINDTECK
1372,MIRCELECTR
1373,MIRZAINT
1374,MIRZATAN
1375,MITCON
1376,MITTAL
1377,MITTALLAMI
1378,MKPL
1379,MMFL
1380,MMFSL
1381,MMP
1382,MMTC
1383,MODIRUBBER
1384,MODISNME
1385,MODISONLTD
1386,MOHITIND
1387,MOIL
1388,MOKSH
1389,MOL
1390,MOLDTECH
1391,MOLDTKPAC
1392,MOM100
1393,MOM50
1394,MON100
1395,MONARCH
1396,MONTECARLO
1397,MORAREALTY
1398,MORARJEE
1399,MORARJESPG
1400,MOREPENLAB
1401,MOTHERSON
1402,MOTHERSUMI
1403,MOTILALOFS
1404,MOTOGENFIN
1405,MPHASIS
1406,MPHASISBFL
1407,MPSLTD
1408,MRF
1409,MRO-TEK
1410,MRPL
1411,MSKPROJ
1412,MSPL
1413,MSTCLTD
1414,MSUMI
1415,MTARTECH
1416,MTEDUCARE
1417,MTNL
1418,MUFIN
1419,MUKANDLTD
1420,MUKTAARTS
1421,MUNDRAPORT
1422,MUNJALAU
1423,MUNJALSHOW
1424,MURUDCERA
1425,MUTHOOTCAP
1426,MUTHOOTFIN
1427,MVGJL
1428,MYSORECEM
1429,N100
1430,NACLIND
1431,NAGAAGRI
1432,NAGAFERT
1433,NAGARCONST
1434,NAGPURENG
1435,NAGREEKCAP
1436,NAGREEKEXP
1437,NAHARCAP
1438,NAHAREXPOT
1439,NAHARINDUS
1440,NAHARINVST
1441,NAHARPOLY
1442,NAHARSPING
